Column Name,Data Type,Unique Values,Top Value Counts (max 10),Significance
VIN,object,98,"{'3HRS9EED0LH255650': 2, '1HRFFHEL8RZ133325': 2, '1HRFFEE8XSZ230636': 1, '3HCFDDE89SH220903': 1, '1HRFFHEL1RZ181474': 1, '1HYKSMRK6SZ000990': 1, '3HRFFHED7RH167541': 1, '1HRFFHEL4RZ149960': 1, '3HCFDFED4SH352945': 1, '3HCFDFEL3SH241701': 1}",Significance of 'VIN' for stakeholders.
TRANSACTION_ID,int64,32,"{13025: 10, 13039: 8, 13030: 6, 13021: 5, 13037: 5, 13035: 5, 13034: 5, 13026: 4, 13038: 4, 13041: 4}",Significance of 'TRANSACTION_ID' for stakeholders.
CORRECTION_VERBATIM,object,93,"{'REPLACED STEERING WHEEL': 3, 'Steering Wheel Replacement': 3, 'Replaced steering wheel': 3, 'REPLACED STEERING WHEEL.': 2, ""CHECKED - FOUND DTC'S U0229 - U1530 SET IN BCM. FOUND PIP5883J, VERIFI ED RPO OPTIONS. TESTED PER SI - WAS INCONCLUSIVE.TESTEDPERWIRING SC HEMATIC - ALL CIRCUITS TESTED OK. LOOKS LIKE FAULTY HEATED S-W MODULE. ORDERED NEW MODULE 9-26-23.1-2, REPLACEDHEATED S-W MODULE."": 1, 'REPLACED STEERING MESSAGE NO LONGER DISPLAYED': 1, 'STEERING WHEEL REPLACEMENT': 1, 'ACCESSED, REMOVED AND REPLACED THE DRIVERS ASSISTANCE SYSTEMS MODULE. ACCESSED THE DIAGNOSTICPORTANDREPROGRAMMEDTHESYSTEMCALIBRATION USING THE MDI-2 WITH A WARRANTY CLAIM PROGRAMMING CODE OF FDYZ197418154. ROAD TESTEDTHEVEHICLETOVERIFYREPAIRS. THESYSTEM IS NOW OPERATING AS DESIGNED.': 1, 'Remove and replace steering wheel wire harness': 1, 'TECHNICIAN FOUND THE STEERING COLUMN PLASTIC TRIM WAS NOT ALIGNED PROPERLY ADJUSTED TRIM AND FOUND THE CUSTOMER CONCERN IS NOLONGER PRESENT': 1}",Significance of 'CORRECTION_VERBATIM' for stakeholders.
CUSTOMER_VERBATIM,object,100,"{'STEERING WHEEL COMING APART': 1, 'CUSTOMER STATES HEATED STEERING WHEEL INOP': 1, 'OWNER REPORTS: THE SUPER CRUISE BAR ON THE STEERING WHEEL IS COMING OF F. CHECK AND ADVISE. ADVISOR RUNNING PRA TOOL.': 1, 'CUSTOMER STATES THE LETTERING AND FINISH ON THE STEERING WHEEL IS COMING OFF. Plant: SIL': 1, 'C/S: CUSTOMER STATES THE SERVICE DRIVER ASSIST SYSTEM MESSAGE IS ON. A DVISE': 1, 'Horn and steering wheel switches are inoperable': 1, 'CUST. STATES DRIVERS ASSIST LIGHT COMES ON DASH -SUPER CRUISE/LANE DEPARTURE WORKS INTERMITTENTLY-WAS DIAG. FORASTEERINGWHEELMODULE.': 1, 'Special Order Part [ steering wheel heated steering wheel not working ]': 1, 'CUSTOMER STATES STEERING WHEEL IS MAKING A RUBBING NOISE WHEN TURING THE WHEEL LEFT AND RIGHT': 1, 'Customer states that they are getting a message on the dash saying driver assist message. Check and advise': 1}",Significance of 'CUSTOMER_VERBATIM' for stakeholders.
REPAIR_DATE,datetime64[ns],29,"{Timestamp('2024-02-02 00:00:00'): 9, Timestamp('2024-01-31 00:00:00'): 7, Timestamp('2024-02-05 00:00:00'): 7, Timestamp('2024-01-11 00:00:00'): 6, Timestamp('2024-01-12 00:00:00'): 6, Timestamp('2024-01-26 00:00:00'): 6, Timestamp('2024-01-16 00:00:00'): 6, Timestamp('2024-02-07 00:00:00'): 6, Timestamp('2024-01-29 00:00:00'): 5, Timestamp('2024-01-15 00:00:00'): 5}",Significance of 'REPAIR_DATE' for stakeholders.
CAUSAL_PART_NM,object,18,"{'WHEEL ASM-STRG *JET BLACK': 45, 'WHEEL ASM-STRG *BLACK': 12, 'WHEEL ASM-STRG *VERY DARK AT': 7, 'WHEEL ASM-STRG *BACKEN BLACKK': 5, 'MODULE ASM-STRG WHL HT CONT': 5, nan: 5, 'HARNESS ASM-STRG WHL HORN SW WRG': 4, 'COVER-STRG WHL SPOKE *HI GLOSS V-C': 3, 'WHEEL ASM-STRG * JET BLACK': 2, 'APPLIQUE ASM-STRG WHL TR SPOKE CVR *VULCAN': 2}",Significance of 'CAUSAL_PART_NM' for stakeholders.
GLOBAL_LABOR_CODE_DESCRIPTION,object,4,"{'Steering Wheel Replacement': 78, 'Steering Wheel Spoke Cover Replacement': 11, 'Heated Steering Wheel Module Replacement': 6, 'Steering Wheel Horn Switch Wiring Harness Replacement': 5}",Significance of 'GLOBAL_LABOR_CODE_DESCRIPTION' for stakeholders.
PLATFORM,object,11,"{'Full-Size Trucks': 52, 'Full-Size Utility': 13, 'Crossover SUV': 11, 'Global Gamma': 7, 'Global Crossover Vehicles': 7, 'BEV': 5, 'Luxury Car-3': 1, 'Global Gamma Vehicles': 1, 'GLOBAL EPSILON II': 1, 'Alpha': 1}",Significance of 'PLATFORM' for stakeholders.
BODY_STYLE,object,6,"{'Crew Cab': 50, '4 Door Utility': 37, '4 Door Sedan': 10, 'Single Cab': 1, 'Extended Cab': 1, '2 Door Coupe': 1}",Significance of 'BODY_STYLE' for stakeholders.
VPPC,object,26,"{'T1CCF': 20, 'T1CGF': 17, 'T1CGH': 7, 'C1UL': 6, 'T1CCH': 6, 'T1YGF': 5, 'C121': 5, 'L233-LSOP': 4, 'T1UCF': 3, 'C1UC': 3}",Significance of 'VPPC' for stakeholders.
PLANT,object,11,"{'SIL': 19, 'FTW': 17, 'SHT': 15, 'ARL': 13, 'FLT': 11, 'ORI': 8, 'DEL': 5, 'OS2': 4, 'RAM': 3, 'LGR': 3}",Significance of 'PLANT' for stakeholders.
BUILD_COUNTRY,object,3,"{'US': 73, 'MX': 23, 'CA': 4}",Significance of 'BUILD_COUNTRY' for stakeholders.
LAST_KNOWN_DLR_NAME,object,100,"{'Silverstone Motors': 1, 'Elite Auto Group': 1, 'CrossRoads Dealership': 1, 'Westwood Wheels': 1, 'LuxeAuto Sales': 1, 'Horizon Motors': 1, 'Apex Vehicle Sales': 1, 'Diamond Drive': 1, 'Summit Auto Traders': 1, 'TrueValue Motors': 1}",Significance of 'LAST_KNOWN_DLR_NAME' for stakeholders.
LAST_KNOWN_DLR_CITY,object,94,"{'SMITHTOWN': 2, 'BOLINGBROOK': 2, 'SHERMAN OAKS': 2, 'HOUSTON': 2, 'GRAND RAPIDS': 2, 'JACKSONVILLE': 2, 'OMAHA': 1, 'SAINT CLAIRSVILLE': 1, 'MADISON': 1, 'BELLEVILLE': 1}",Significance of 'LAST_KNOWN_DLR_CITY' for stakeholders.
REPAIRING_DEALER_CODE,object,95,"{'11-46346/118677': 3, '13-11298/227245': 2, '13-14819/243038': 2, '11-45870/322530': 2, '11-47556/116725': 1, '13-47099/113361': 1, '13-13992/309484': 1, '13-13858/113450': 1, '13-28387/166196': 1, '11-40119/299131': 1}",Significance of 'REPAIRING_DEALER_CODE' for stakeholders.
DEALER_NAME,object,100,"{'Apex Auto Sales': 1, 'SilverPeak Motors': 1, 'Quantum Car Traders': 1, 'Summit Drive Auto': 1, 'Horizon Motors': 1, 'Prestige Wheels': 1, 'UrbanEdge Auto': 1, 'Diamond Auto Traders': 1, 'Legacy Car Sales': 1, 'PrimeDrive Motors': 1}",Significance of 'DEALER_NAME' for stakeholders.
REPAIR_DLR_CITY,object,93,"{'GRAND RAPIDS': 3, 'SIGNAL HILL': 3, 'BAY SHORE': 2, 'BOLINGBROOK': 2, 'HOUSTON': 2, 'LIBERTY LAKE': 1, 'COLUMBUS': 1, 'SAINT CLAIRSVILLE': 1, 'MADISON': 1, 'BELLEVILLE': 1}",Significance of 'REPAIR_DLR_CITY' for stakeholders.
